date,510300.SH,563360.SH,512890.SH,510880.SH,511010.SH,511260.SH,518880.SH,511880.SH
2010-11-08,3548.566,3724.4473,5578.219,2505.51,106.094,93.721,,
2010-11-09,3523.954,3709.1375,5617.751,2486.005,105.885,93.505,,
2010-11-10,3499.111,3691.224,5667.241,2461.648,105.522,92.938,,
2010-11-11,3509.975,3696.4187,5601.701,2479.993,104.789,92.365,,
2010-11-12,3291.833,3474.5975,5296.892,2352.498,104.81,92.446,,
2010-11-15,3314.893,3520.2111,5459.444,2367.733,104.729,92.435,,
2010-11-16,3169.538,3380.507,5337.134,2270.966,104.748,92.485,,
2010-11-17,3103.906,3292.2943,5111.693,2235.988,104.748,92.45,,
2010-11-18,3147.962,3337.7391,5201.121,2255.194,104.807,92.966,,
2010-11-19,3178.846,3388.3728,5345.847,2271.265,104.876,93.012,,
2010-11-22,3171.941,3391.0269,5456.148,2250.271,104.789,92.604,,
2010-11-23,3107.176,3325.3263,5413.008,2217.856,104.521,92.261,,
2010-11-24,3177.043,3404.9558,5585.143,2229.404,104.293,92.374,,
2010-11-25,3223.484,3449.399,5579.763,2255.899,104.167,92.309,,
2010-11-26,3194.853,3424.4355,5554.933,2238.754,104.062,92.139,,
2010-11-29,3190.05,3429.2765,5593.806,2225.578,104.122,92.153,,
2010-11-30,3136.985,3366.0995,5431.059,2191.739,103.963,92.217,,
2010-12-01,3136.024,3362.8992,5405.541,2202.151,104.294,92.46,,
2010-12-02,3155.059,3378.3046,5409.375,2219.259,104.524,92.788,,
2010-12-03,3158.156,3374.9188,5328.019,2212.737,104.304,92.922,,
2010-12-06,3165.57,3368.8802,5267.569,2221.232,104.46,92.992,,
2010-12-07,3200.339,3408.7381,5352.262,2229.432,104.496,93.049,,
2010-12-08,3171.882,3385.6682,5308.312,2203.255,104.518,93.016,,
2010-12-09,3123.366,3333.4191,5191.942,2174.52,104.364,92.728,,
2010-12-10,3161.977,3374.6285,5277.954,2197.742,104.37,92.847,,
2010-12-13,3261.061,3477.2437,5414.875,2260.526,104.417,92.937,,
2010-12-14,3269.474,3493.041,5437.024,2262.665,104.541,92.889,,
2010-12-15,3247.644,3469.067,5421.557,2254.565,104.561,92.997,,
2010-12-16,3230.665,3453.2406,5413.13,2248.252,104.581,93.103,,
2010-12-17,3225.661,3450.1886,5392.341,2243.858,104.657,93.26,,
2010-12-20,3178.657,3400.7211,5308.264,2213.377,104.67,93.292,,
2010-12-21,3249.509,3463.254,5372.587,2259.117,104.814,93.351,,
2010-12-22,3215.453,3427.3174,5300.355,2238.075,104.706,93.27,,
2010-12-23,3188.607,3389.748,5230.721,2231.624,104.799,93.178,,
2010-12-24,3162.955,3356.0467,5164.375,2220.504,104.812,93.202,,
2010-12-27,3099.709,3285.1638,5023.388,2186.571,104.292,92.624,,
2010-12-28,3044.931,3225.7433,4952.366,2148.912,104.324,92.62,,
2010-12-29,3061.83,3254.092,5022.754,2151.082,104.4,92.585,,
2010-12-30,3064.098,3258.7908,5032.651,2154.345,104.518,92.631,,
2010-12-31,3128.261,3325.1403,5147.433,2183.662,104.547,92.833,,
2011-01-03,,,,,,,,
2011-01-04,3189.682,3377.9994,5202.535,2224.388,104.749,93.093,,
2011-01-05,3175.662,3367.1658,5176.604,2219.236,105.047,93.227,,
2011-01-06,3159.643,3346.8104,5187.587,2209.203,105.183,93.233,,
2011-01-07,3166.624,3351.1136,5226.06,2223.268,105.152,93.154,,
2011-01-10,3108.187,3282.2643,5137.619,2193.426,105.188,93.265,,
2011-01-11,3124.922,3289.6373,5154.89,2217.233,105.158,93.13,,
2011-01-12,3142.337,3306.6889,5184.061,2227.248,105.109,93.134,,
2011-01-13,3141.284,3308.2129,5195.783,2230.38,105.058,93.04,,
2011-01-14,3091.862,3255.2026,5150.702,2198.055,104.884,92.804,,
2011-01-17,2974.35,3133.9973,4966.639,2137.477,104.684,92.811,,
2011-01-18,2977.648,3142.2113,4976.508,2137.849,104.32,92.341,,
2011-01-19,3044.851,3212.0372,5072.313,2172.561,104.19,92.357,,
2011-01-20,2944.713,3105.9205,4941.952,2110.721,104.21,92.282,,
2011-01-21,2983.456,3139.9064,4978.303,2139.695,104.27,92.383,,
2011-01-24,2954.232,3102.1798,4918.978,2123.041,104.241,92.126,,
2011-01-25,2938.654,3083.8905,4920.098,2119.488,104.248,92.005,,
2011-01-26,2978.431,3127.9749,4952.362,2135.51,104.223,92.088,,
2011-01-27,3026.466,3181.1102,5015.577,2168.647,104.266,92.08,,
2011-01-28,3036.735,3197.1145,5044.657,2168.476,104.263,92.087,,
2011-01-30,,,,,,,,
2011-01-31,3076.508,3238.0465,5101.178,2190.83,104.279,92.064,,
2011-02-01,3077.283,3237.9516,5096.457,2196.315,104.28,92.142,,
2011-02-02,,,,,,,,
2011-02-03,,,,,,,,
2011-02-04,,,,,,,,
2011-02-07,,,,,,,,
2011-02-08,,,,,,,,
2011-02-09,3040.949,3208.3063,5056.438,2167.783,103.846,91.349,,
2011-02-10,3104.163,3277.9617,5179.22,2204.337,103.842,91.463,,
2011-02-11,3120.956,3296.6484,5208.57,2205.43,103.903,91.656,,
2011-02-12,,,,,,,,
2011-02-14,3219.143,3388.4728,5324.685,2285.904,104.12,92.038,,
2011-02-15,3217.671,3385.3653,5315.53,2280.605,104.133,91.935,,
2011-02-16,3248.527,3421.2629,5372.656,2301.68,104.152,92.074,,
2011-02-17,3245.907,3424.4511,5370.245,2298.445,104.146,91.964,,
2011-02-18,3211.876,3390.698,5338.197,2272.948,104.139,91.995,,
2011-02-21,3257.908,3441.3449,5422.706,2306.122,103.943,91.849,,
2011-02-22,3163.578,3344.8506,5264.137,2246.392,104.035,91.918,,
2011-02-23,3174.742,3362.4048,5313.305,2251.144,104.176,92.324,,
2011-02-24,3190.935,3380.184,5342.013,2264.782,104.43,92.52,,
2011-02-25,3197.617,3389.2394,5341.384,2273.354,104.244,92.464,,
2011-02-28,3239.559,3434.7725,5423.979,2292.927,104.382,92.54,,
2011-03-01,3254.893,3450.5452,5434.38,2304.893,104.5,92.628,,
2011-03-02,3243.298,3439.7822,5442.366,2294.347,104.625,92.768,,
2011-03-03,3221.718,3412.9832,5430.356,2293.094,104.566,92.692,,
2011-03-04,3270.666,3460.6915,5500.207,2332.318,104.524,92.667,,
2011-03-07,3334.51,3521.4599,5569.483,2385.015,104.522,92.639,,
2011-03-08,3337.457,3528.4957,5600.76,2387.509,104.839,92.786,,
2011-03-09,3338.858,3531.7228,5593.32,2379.604,104.846,92.9,,
2011-03-10,3280.259,3475.9609,5536.242,2333.499,104.806,92.806,,
2011-03-11,3247.376,3448.5432,5506.46,2311.538,104.717,92.694,,
2011-03-14,3262.92,3470.9101,5529.283,2318.877,104.769,92.902,,
2011-03-15,3203.961,3413.1571,5449.094,2281.091,105.042,93.374,,
2011-03-16,3248.195,3459.7964,5501.325,2311.484,105.026,93.223,,
2011-03-17,3197.1,3404.9485,5415.613,2285.47,105.121,93.298,,
2011-03-18,3215.685,3421.5025,5437.174,2290.244,105.123,93.228,,
2011-03-21,3207.11,3407.221,5426.77,2285.58,104.922,92.978,,
2011-03-22,3222.961,3422.6546,5456.478,2298.252,104.932,93.008,,
2011-03-23,3264.926,3463.4986,5515.292,2322.76,104.915,92.977,,
2011-03-24,3251.361,3452.5671,5504.387,2317.397,104.983,93.186,,
2011-03-25,3294.484,3490.6462,5589.921,2346.161,104.996,93.197,,
2011-03-28,3290.571,3480.5009,5568.507,2350.48,105.069,93.041,,
2011-03-29,3257.979,3441.6098,5472.731,2340.458,104.948,92.887,,
2011-03-30,3256.08,3435.2781,5477.111,2337.495,104.938,92.88,,
2011-03-31,3223.288,3401.6078,5415.465,2323.981,104.917,92.882,,
2011-04-01,3272.729,3447.5869,5466.696,2359.211,104.947,92.9,,
2011-04-02,,,,,,,,
2011-04-04,,,,,,,,
2011-04-05,,,,,,,,
2011-04-06,3311.067,3473.7993,5489.355,2400.326,104.862,92.839,,
2011-04-07,3324.419,3491.5564,5498.833,2398.457,104.857,92.88,,
2011-04-08,3353.358,3524.6848,5546.862,2412.919,104.885,92.995,,
2011-04-11,3333.427,3502.9256,5506.494,2402.868,104.995,93.036,,
2011-04-12,3326.771,3502.496,5532.746,2410.028,105.313,93.157,,
2011-04-13,3372.031,3546.8504,5592.848,2428.177,105.369,93.295,,
2011-04-14,3353.56,3529.0381,5572.813,2424.619,105.333,93.205,,
2011-04-15,3358.944,3528.783,5566.955,2432.66,105.367,93.24,,
2011-04-18,3359.438,3530.712,5597.556,2439.847,105.271,93.14,,
2011-04-19,3295.812,3471.2392,5523.765,2384.692,105.285,93.174,,
2011-04-20,3295.758,3476.8647,5555.758,2382.471,105.297,93.059,,
2011-04-21,3317.367,3500.1433,5589.204,2404.156,105.301,93.073,,
2011-04-22,3299.942,3485.1344,5577.142,2388.443,105.327,93.064,,
2011-04-25,3249.574,3432.4046,5526.839,2345.13,105.328,93.052,,
2011-04-26,3230.96,3402.9191,5455.563,2331.21,105.311,93.066,,
2011-04-27,3209.503,3382.7554,5436.878,2328.514,105.314,93.139,,
2011-04-28,3161.776,3322.8192,5316.555,2304.486,105.312,93.182,,
2011-04-29,3192.723,3359.4426,5398.479,2323.859,105.421,93.118,,
2011-05-02,,,,,,,,
2011-05-03,3211.132,3386.8134,5460.171,2337.633,105.346,93.309,,
2011-05-04,3129.028,3304.6655,5360.595,2284.298,105.404,93.306,,
2011-05-05,3126.117,3302.9912,5384.887,2286.209,105.383,93.317,,
2011-05-06,3121.396,3304.1988,5364.044,2275.706,105.407,93.511,,
2011-05-09,3129.759,3317.2929,5376.045,2280.908,105.442,93.523,,
2011-05-10,3153.221,3338.9174,5398.349,2297.909,105.446,93.472,,
2011-05-11,3145.085,3332.2489,5408.207,2283.064,105.457,93.493,,
2011-05-12,3101.603,3285.8251,5339.338,2256.963,105.481,93.518,,
2011-05-13,3128.093,3310.1063,5383.336,2277.49,105.398,93.524,,
2011-05-16,3100.463,3284.0781,5345.02,2251.943,105.397,93.489,,
2011-05-17,3116.028,3294.8542,5326.324,2263.939,105.41,93.494,,
2011-05-18,3139.379,3320.6543,5373.34,2281.85,105.421,93.496,,
2011-05-19,3120.639,3301.6832,5356.768,2266.035,105.423,93.489,,
2011-05-20,3121.596,3298.6456,5360.836,2263.66,105.447,93.472,,
2011-05-23,3022.98,3193.3217,5175.683,2190.013,105.588,93.496,,
2011-05-24,3026.223,3194.6822,5186.755,2185.561,105.573,93.53,,
2011-05-25,2990.343,3155.733,5139.804,2162.404,105.671,93.492,,
2011-05-26,2978.381,3138.7269,5118.534,2166.311,105.693,93.497,,
2011-05-27,2963.308,3109.7807,5055.713,2163.219,105.694,93.597,,
2011-05-30,2954.506,3096.2673,5010.413,2161.757,105.695,93.566,,
2011-05-31,3001.556,3150.1516,5084.133,2191.403,105.644,93.474,,
2011-06-01,3004.173,3159.3434,5117.168,2184.324,105.573,93.58,,
2011-06-02,2955.705,3110.6117,5029.413,2150.974,105.553,93.358,,
2011-06-03,2986.349,3145.2274,5100.768,2164.819,105.573,93.375,,
2011-06-06,,,,,,,,
2011-06-07,3004.262,3164.0882,5075.307,2173.217,105.55,93.361,,
2011-06-08,3008.652,3167.1081,5069.393,2170.623,105.304,93.316,,
2011-06-09,2951.889,3106.1461,4954.157,2136.676,105.27,92.93,,
2011-06-10,2961.932,3116.921,4950.931,2146.555,105.184,92.979,,
2011-06-13,2950.348,3104.3334,4924.399,2139.645,105.148,92.958,,
2011-06-14,2993.559,3149.0306,4976.483,2159.078,104.976,92.67,,
2011-06-15,2963.119,3118.7493,4920.56,2139.816,104.605,92.122,,
2011-06-16,2917.578,3070.2605,4818.531,2098.268,104.571,92.167,,
